ttc_lidar,ttc_camera,detector,descriptor,frame
13.916132,13.320306,SIFT,BRIEF,3
14.886526,18.316047,SIFT,BRIEF,4
12.187262,15.592701,SIFT,BRIEF,5
7.501993,11.112389,SIFT,BRIEF,6
34.34042,14.792815,SIFT,BRIEF,7
18.787518,15.895041,SIFT,BRIEF,8
15.889385,13.193183,SIFT,BRIEF,9
13.729655,9.891657,SIFT,BRIEF,10
10.491403,12.405565,SIFT,BRIEF,11
10.099996,11.312868,SIFT,BRIEF,12
9.223069,9.52411,SIFT,BRIEF,13
10.967763,9.169739,SIFT,BRIEF,14
8.094218,9.152718,SIFT,BRIEF,15
8.813924,8.729362,SIFT,BRIEF,16
10.292551,8.54489,SIFT,BRIEF,17
8.309779,7.726273,SIFT,BRIEF,18
12.972159,11.947342,SIFT,FREAK,1
12.264038,13.537855,SIFT,FREAK,2
13.916132,13.155401,SIFT,FREAK,3
14.886526,17.331741,SIFT,FREAK,4
12.187262,14.392302,SIFT,FREAK,5
7.501993,10.607186,SIFT,FREAK,6
34.34042,14.617114,SIFT,FREAK,7
18.787518,14.9965,SIFT,FREAK,8
15.889385,13.897809,SIFT,FREAK,9
13.729655,11.387981,SIFT,FREAK,10
10.491403,11.928728,SIFT,FREAK,11
10.099996,10.690414,SIFT,FREAK,12
9.223069,9.683644,SIFT,FREAK,13
10.967763,11.022133,SIFT,FREAK,14
8.094218,9.454764,SIFT,FREAK,15
8.813924,8.010739,SIFT,FREAK,16
10.292551,8.87285,SIFT,FREAK,17
8.309779,8.873593,SIFT,FREAK,18
12.972159,12.318765,SIFT,SIFT,1
12.264038,12.870733,SIFT,SIFT,2
13.916132,13.161358,SIFT,SIFT,3
14.886526,17.078325,SIFT,SIFT,4
12.187262,15.555159,SIFT,SIFT,5
7.501993,10.829056,SIFT,SIFT,6
34.34042,14.158653,SIFT,SIFT,7
18.787518,14.851953,SIFT,SIFT,8
15.889385,14.028182,SIFT,SIFT,9
